Rosetta 3,,,,,,,,,,,,,,,,,,,,,,,
Sand_%,Silt_%,Clay_%,bulk_density_(g/cm3),th33,th1500,Code,theta_r,theta_s,log10_alpha_(1/cm),log10_n,log10_Ksat_(cm/d),K sat (cm/d),ksat (cm/s),,,,,,,,,,
60.88,35.29,3.83,1.62,-9.9,-9.9,3,0.052512695,0.335756109,-1.799403433,0.172075987,1.503966513,31.91291776,0.000369362,,,,,,,,,,
79.46,20.54,0,1.62,-9.9,-9.9,3,0.046293791,0.33616883,-1.585726366,0.257707918,2.052205204,112.7730182,0.001305243,,,,,,,,,,
79.7,20.3,0,1.62,-9.9,-9.9,3,0.046279011,0.336269149,-1.5833419,0.259743769,2.061273447,115.1525201,0.001332784,,,,,,,,,,
89.28,10.72,0,1.62,-9.9,-9.9,3,0.045747547,0.340209986,-1.492125332,0.389289152,2.524141398,334.3038653,0.003869258,,,,,,,,,,
56.03,43.97,0,1.62,-9.9,-9.9,3,0.047480579,0.330206591,-1.849351342,0.181729391,1.58622285,38.56762094,0.000446385,,,,,,,,,,
50.33,42.18,7.49,1.62,-9.9,-9.9,3,0.058418965,0.33872671,-1.936347797,0.157504895,1.271481086,18.68448303,0.000216256,,,,,,,,,,
80.25,19.75,0,1.62,-9.9,-9.9,3,0.046245179,0.336499835,-1.577894691,0.264585468,2.082519396,120.9259188,0.001399606,,,,,,,,,,
74.59,25.41,0,1.62,-9.9,-9.9,3,0.046587393,0.334225534,-1.635170506,0.2249159,1.892965825,78.15663001,0.000904591,,,,,,,,,,
43.58,46.94,9.48,1.62,-9.9,-9.9,3,0.061992504,0.340842692,-2.027170472,0.155011405,1.152784555,14.21623373,0.00016454,,,,,,,,,,
46.13,44,9.88,1.62,-9.9,-9.9,3,0.062568853,0.341272145,-1.993875193,0.152502779,1.155834895,14.3164353,0.000165699,,,,,,,,,,
83.46,16.54,0,1.62,-9.9,-9.9,3,0.046052493,0.337850334,-1.546565393,0.298373088,2.219873818,165.9104793,0.00192026,,,,,,,,,,
76.37,23.63,0,1.62,-9.9,-9.9,3,0.046482407,0.334909799,-1.616853417,0.235205289,1.945944983,88.29680378,0.001021954,,,,,,,,,,
